"Taxa","co"
"LAR3N100",1
"LAR3N101",1
"LAR3N108",1
"LAR3N109",0
"LAR3N112",0
"LAR3N113",1
"LAR3N114",1
"LAR3N118",0
"LAR3N12",0
"LAR3N120",1
"LAR3N123",1
"LAR3N124",1
"LAR3N14",0
"LAR3N15",1
"LAR3N16",1
"LAR3N17",1
"LAR3N2",1
"LAR3N20",0
"LAR3N21",1
"LAR3N23",0
"LAR3N26",0
"LAR3N28",0
"LAR3N3",1
"LAR3N30",0
"LAR3N31",1
"LAR3N32",1
"LAR3N34",0
"LAR3N36",0
"LAR3N38",0
"LAR3N39",1
"LAR3N40",1
"LAR3N41",1
"LAR3N43",0
"LAR3N44",1
"LAR3N45",1
"LAR3N49",0
"LAR3N5",1
"LAR3N52",1
"LAR3N53",1
"LAR3N54",0
"LAR3N55",0
"LAR3N57",0
"LAR3N60",0
"LAR3N63",0
"LAR3N65",1
"LAR3N66",0
"LAR3N67",0
"LAR3N71",0
"LAR3N74",0
"LAR3N76",0
"LAR3N77",0
"LAR3N78",1
"LAR3N79",0
"LAR3N81",0
"LAR3N82",0
"LAR3N83",1
"LAR3N86",1
"LAR3N9",NA
"LAR3N90",0
"LAR3N95",0
"LAR3N96",1
"LAR3N97",0
"LAR3N98",0
"LAR4N1",0
"LAR4N100",0
"LAR4N101",1
"LAR4N103",1
"LAR4N105",1
"LAR4N108",1
"LAR4N109",1
"LAR4N11",1
"LAR4N112",1
"LAR4N114",0
"LAR4N116",1
"LAR4N119",0
"LAR4N12",1
"LAR4N120",1
"LAR4N121",1
"LAR4N122",1
"LAR4N123",1
"LAR4N13",1
"LAR4N14",0
"LAR4N16",0
"LAR4N17",0
"LAR4N18",1
"LAR4N20",1
"LAR4N21",0
"LAR4N25",0
"LAR4N28",0
"LAR4N30",0
"LAR4N31",1
"LAR4N32",0
"LAR4N34",NA
"LAR4N37",0
"LAR4N38",0
"LAR4N39",0
"LAR4N40",0
"LAR4N41",0
"LAR4N43",1
"LAR4N44",1
"LAR4N50",NA
"LAR4N53",1
"LAR4N54",1
"LAR4N57",1
"LAR4N59",1
"LAR4N6",0
"LAR4N60",0
"LAR4N61",1
"LAR4N63",0
"LAR4N65",0
"LAR4N7",0
"LAR4N70",0
"LAR4N71",0
"LAR4N74",0
"LAR4N76",0
"LAR4N77",0
"LAR4N79",0
"LAR4N8",NA
"LAR4N82",1
"LAR4N84",0
"LAR4N86",NA
"LAR4N87",NA
"LAR4N88",1
"LAR4N89",1
"LAR4N90",1
"LAR4N91",1
"LAR4N92",0
"LAR5N104",1
"LAR5N105",1
"LAR5N107",1
"LAR5N108",0
"LAR5N111",1
"LAR5N112",0
"LAR5N113",1
"LAR5N118",1
"LAR5N119",1
"LAR5N120",0
"LAR5N123",1
"LAR5N125",1
"LAR5N14",1
"LAR5N15",0
"LAR5N17",0
"LAR5N18",0
"LAR5N2",0
"LAR5N20",0
"LAR5N24",0
"LAR5N26",0
"LAR5N28",0
"LAR5N3",0
"LAR5N31",NA
"LAR5N32",1
"LAR5N34",1
"LAR5N35",0
"LAR5N37",0
"LAR5N38",0
"LAR5N39",0
"LAR5N4",1
"LAR5N41",0
"LAR5N42",NA
"LAR5N47",1
"LAR5N5",0
"LAR5N50",1
"LAR5N51",1
"LAR5N52",1
"LAR5N55",1
"LAR5N56",0
"LAR5N57",0
"LAR5N58",0
"LAR5N62",1
"LAR5N63",0
"LAR5N64",1
"LAR5N65",1
"LAR5N66",1
"LAR5N67",1
"LAR5N68",1
"LAR5N69",1
"LAR5N70",1
"LAR5N72",1
"LAR5N73",1
"LAR5N74",0
"LAR5N75",0
"LAR5N76",1
"LAR5N77",1
"LAR5N78",0
"LAR5N8",0
"LAR5N80",1
"LAR5N86",1
"LAR5N88",1
"LAR5N89",0
"LAR5N9",1
"LAR5N96",1
"LAR5N97",1
"LAR5N99",1
"LAR6N10",1
"LAR6N12",1
"LAR6N13",0
"LAR6N14",NA
"LAR6N17",1
"LAR6N2",1
"LAR6N22",1
"LAR6N25",0
"LAR6N27",0
"LAR6N28",1
"LAR6N3",1
"LAR6N30",1
"LAR6N31",0
"LAR6N38",1
"LAR6N39",0
"LAR6N4",1
"LAR6N40",0
"LAR6N43",0
"LAR6N44",1
"LAR6N45",1
"LAR6N46",1
"LAR6N47",1
"LAR6N49",1
"LAR6N5",0
"LAR6N50",1
"LAR6N51",1
"LAR6N52",0
"LAR6N54",1
"LAR6N55",1
"LAR6N57",NA
"LAR6N60",1
"LAR6N64",1
"LAR6N65",0
"LAR6N66",0
"LAR6N74",0
"LAR6N75",0
"LAR6N8",1
"LAR6N9",0
