"Trait","Year","Genotype","dGEBV","weight","rel","GEBV","SE","AVSED","h2_Cullis","pop","pop_BLUE","co_loc"
"tr_coni",2017,"FBR1N1",0.00822109867447814,1.23869953790049,0.553312097907598,0.00611526024487829,0.0009194675000614,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N100",0.0114917682833023,0.998719221882929,0.499679600290264,0.00812330332539325,0.000973102063070083,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N101",0.0111960818501969,1.06474595788578,0.515678916245967,0.00803999451543814,0.000957416649460712,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N102",0.00947103514140846,0.945058117147133,0.485876544672749,0.00660177038576751,0.000986433917755842,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N103",0.00956745641606091,1.08780626672056,0.52102835596391,0.00690600951361678,0.000952114522518918,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N11",0.00951852935927855,1.00744558038856,0.501854491215427,0.00674308697398885,0.00097098472401506,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N12",0.00835206053190267,1.09030904368133,0.521601840157157,0.00603202580355446,0.000951544357066504,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N13",0.0103772372227886,0.999634487372343,0.499908605140098,0.00733714414100942,0.000972879335196348,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N14",0.00820934921295114,1.08804572763815,0.521083285311414,0.0059260089298033,0.000952059925832824,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N16",0.00918368906563497,1.18962114309148,0.543299989061979,0.00676919491348912,0.000929714916437061,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N17",0.00658587660427927,1.20024275803627,0.545504696539711,0.00486421582523451,0.000927468114218453,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N19",0.00875356892331812,0.942877293128626,0.485299455844844,0.00609803703735947,0.00098698738437227,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N2",0.00735662361744847,1.05847413362439,0.514203271410906,0.00527528532970118,0.000958874083868582,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N20",0.00926538978330657,1.06866588396341,0.516596658864951,0.00665946730035306,0.000956509112360813,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N21",0.00900133667606816,0.992353343240978,0.498080998838644,0.00635268019885888,0.000974655429427764,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N22",0.00882039422786402,1.08237960550935,0.519780160469156,0.00635913208548228,0.000953354315963302,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N23",0.00671856335459519,1.09033265374972,0.521607243609691,0.0048523064789339,0.000951538983258955,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N24",0.00865968345969844,1.03467583296551,0.508521218074078,0.00617527861369401,0.000964465449895029,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N25",0.0071757889728005,1.00026885921106,0.500067205768321,0.00507439003693733,0.000972725051888318,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N27",0.0106936386567886,1.10358571217524,0.524621224506258,0.00774548172137612,0.000948536793427036,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N28",0.00875320019577438,1.15945638234257,0.536920491575197,0.00641389507413476,0.00093618584350223,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N3",0.00961225302560525,1.21799557966364,0.549142473876503,0.00712307820041972,0.000923748932932959,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N31",0.00810038959311567,1.01984995854993,0.50491372105782,0.00575591661092987,0.000967998608479603,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N32",0.0108125956965845,1.15022292681509,0.534931942391109,0.00790822887768118,0.000938193767921098,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N33",0.00902178242881103,1.2730876334023,0.560069754766459,0.00675170423721731,0.000912485975487708,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N34",0.0103557554359565,1.12280299334916,0.52892472681966,0.00753145214098099,0.000944233581980389,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N35",0.00832657048875622,1.08436031911344,0.520236500939848,0.00600574063745742,0.00095290123434758,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N38",0.00746607641662854,1.20225224497375,0.545919409421731,0.00551641204862595,0.000927044874689714,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N39",0.00946587826725004,1.13085824468521,0.530705525581439,0.00689584863016307,0.000942447156086202,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N4",0.00917968306954653,1.07937623243738,0.519086548936924,0.00661374696035271,0.00095404256214955,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N40",0.00900122870566508,1.10437242580476,0.524798943505649,0.00652076084809773,0.000948359472965348,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N41",0.00928146732493117,1.26943451129972,0.559361596458982,0.00694165400428687,0.000913220097201687,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N43",0.00890108268767954,1.1604422526553,0.537131807725503,0.00652353911908259,0.000935972215217077,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N45",0.0101208866265242,1.09383447555476,0.522407328910251,0.00731514923455055,0.00095074295225425,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N47",0.0100948549093537,1.10834372144411,0.525694036589513,0.00731925042409011,0.000947465882657187,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N48",0.0129510926301094,1.26810316365417,0.559102947332921,0.00968394469283488,0.000913488082159639,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N50",0.00980753775853873,1.08727152965596,0.520905648454455,0.00707847206040055,0.000952236475583811,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N56",0.00971198264316486,1.15150770363102,0.535209658644337,0.00710509466654684,0.000937913604015396,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N58",0.00959390510719265,1.03339638985169,0.508211972347932,0.00683939780233604,0.0009647688301499,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N60",0.00889803402131424,1.14390914638066,0.533562323903418,0.00649960014418304,0.000939574235625256,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N62",0.00754606724587093,1.20094783210583,0.545650294199288,0.00557413994414092,0.000927319545022837,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N63",0.00989453649962261,1.24837012755009,0.555233372056211,0.00737281328379111,0.000917487982844931,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N64",0.0099034383575104,1.11864347655754,0.527999868281359,0.0071961947783686,0.000945160030823226,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N67",0.0103945317754982,1.24296376457577,0.554161321821826,0.00773789863886308,0.000918593058129023,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N68",0.0072326455034967,1.09740117666226,0.523219491279503,0.00523165547755239,0.000949934223137549,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N69",0.00932266141295385,1.058930031276,0.514310838731969,0.0066857902863138,0.000958767918861052,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N7",0.0109802987585357,1.10466825797968,0.524865737767185,0.00795496491787701,0.000948292819918285,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N71",0.00963202200973118,1.00096956303404,0.500242273308889,0.00681251797132689,0.0009725547215005,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N73",0.0102806575483881,1.13715123674971,0.53208739615412,0.0074991558397584,0.000941058582190327,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N75",0.0100962840233425,1.03605780531688,0.508854808842538,0.00720208928340851,0.000964138079319139,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N77",0.0100111156674008,1.05801052607978,0.51409383609672,0.00717800369545791,0.00095898208045591,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N78",0.0112766059167602,1.04109818429599,0.510067664704275,0.00805364161602323,0.000962946900669111,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
"tr_coni",2017,"FBR1N8",0.0104085105894289,1.03137332978341,0.507722196930379,0.00741654547007872,0.000965249120887004,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,0
"tr_coni",2017,"FBR1N80",0.0135810593413822,0.969222753139841,0.49218543285388,0.00952791830512744,0.000980362894309906,0.00139486289145554,0.485998401349777,"gxr",0.00961649533800119,1
