"Trait","Year","Genotype","dGEBV","weight","rel","GEBV","SE","AVSED","h2_Cullis","pop","pop_BLUE","co_loc"
"in_len",2017,"FBR1N1",17.6578669670003,5.74900313783711,0.851829969615264,16.2972639103356,2.83341048309406,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N100",18.5760628977613,5.68164744832422,0.850336311855124,17.1296715390028,2.84765605360235,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N101",18.7991345563452,5.69591406779946,0.850655192125451,17.3386242488367,2.84462076311669,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N102",15.208634332625,5.68654877049428,0.850446017172162,14.0253463214612,2.84661217888615,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N103",28.4942301545983,5.67465891202141,0.850179610197167,26.2731575682473,2.84914644745599,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,0
"in_len",2017,"FBR1N11",14.9754513567644,5.71884784514264,0.851164958182087,13.8161420152923,2.83976177048382,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N12",27.7756250537164,5.70490848275041,0.850855533289875,25.620745040944,2.84271214005779,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,0
"in_len",2017,"FBR1N13",22.2689129506687,5.71754258506546,0.851136038612808,20.5446386691488,2.84003764872226,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,0
"in_len",2017,"FBR1N14",20.6708316917093,5.69324864555873,0.850595719215729,19.0642422158623,2.84518710699186,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N16",26.4872335781756,5.75328899299391,0.851924003098722,24.4476448947767,2.83251125353106,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,0
"in_len",2017,"FBR1N17",28.10127915864,5.73252616306658,0.851467342899339,25.9304519997933,2.83687556457531,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,0
"in_len",2017,"FBR1N19",18.6254025516422,5.68665751939142,0.850448449453261,17.1763018957757,2.84658903075924,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N2",16.2976466781417,5.66368766258068,0.849932942443355,15.0250951005528,2.85149093314252,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
"in_len",2017,"FBR1N20",19.8977674609444,5.71891989048057,0.85116655410391,18.3574192326324,2.83974654540686,4.82252023955339,0.785385283227341,"gxr",18.2152456962334,1
