"","Distance","Rsquare","Number"
"1",100,0.589982523841972,477
"2",200,0.577163183322695,454
"3",300,0.528297552887382,370
"4",400,0.521340004400268,351
"5",500,0.561685634741614,312
"6",600,0.541167417848092,273
"7",700,0.560470938205291,295
"8",800,0.571479414432184,214
"9",900,0.49712287782855,219
"10",1000,0.562272455636117,204
"11",1100,0.538043552936522,189
"12",1200,0.494713678945054,193
"13",1300,0.519721433116388,157
"14",1400,0.547588926535638,171
"15",1500,0.506243119522119,140
"16",1600,0.655593630620495,116
"17",1700,0.571185542003581,127
"18",1800,0.559215005046964,120
"19",1900,0.558706803100248,116
"20",2000,0.502678927944098,107
"21",2100,0.585854992961982,106
"22",2200,0.460323878166706,103
"23",2300,0.597638822837068,107
"24",2400,0.603432890293431,103
"25",2500,0.578069352371615,83
"26",2600,0.620626538936685,81
"27",2700,0.593611802263941,79
"28",2800,0.599877398982253,77
"29",2900,0.546724591318508,76
"30",3000,0.484596874402433,63
"31",3100,0.527971861931928,42
"32",3200,0.515049907261497,56
"33",3300,0.535727740911353,50
"34",3400,0.459271896526499,48
"35",3500,0.630875482927479,49
"36",3600,0.591080190110998,55
"37",3700,0.560921051733971,55
"38",3800,0.432745011624808,45
"39",3900,0.672213649387018,31
"40",4000,0.657891451980181,42
"41",4100,0.512668656795657,29
"42",4200,0.497694310196955,31
"43",4300,0.628892248227363,37
"44",4400,0.589224784808749,35
"45",4500,0.473851375023052,41
"46",4600,0.433844549121677,30
"47",4700,0.45427024052774,29
"48",4800,0.493073222600276,25
"49",4900,0.662947326950207,36
"50",5000,0.608489156038652,25
"51",5100,0.472257190255617,20
"52",5200,0.55904794625595,23
"53",5300,0.717547000505256,25
"54",5400,0.56860432471521,21
"55",5500,0.615697343464658,24
"56",5600,0.55124809824475,12
"57",5700,0.594398866251599,27
"58",5800,0.531692165649303,13
"59",5900,0.597929309327344,16
"60",6000,0.441656255534706,19
"61",6100,0.603645039988361,14
"62",6200,0.561377572620199,24
"63",6300,0.690488884571781,19
"64",6400,0.579624461153736,14
"65",6500,0.367717115693163,10
"66",6600,0.701245485577707,19
"67",6700,0.52604098823818,14
"68",6800,0.728697078169079,17
"69",6900,0.619219714161641,11
"70",7000,0.598392222048658,5
"71",7100,0.761506805238632,11
"72",7200,0.715922152907123,7
"73",7300,0.574558686056246,18
"74",7400,0.503427792890885,14
"75",7500,0.329561560888932,9
"76",7600,0.448490782950956,7
"77",7700,0.530588542737198,9
"78",7800,0.490682642826405,13
"79",7900,0.457729046531614,12
"80",8000,0.660632878399839,11
"81",8100,0.684339565429705,11
"82",8200,0.905761426425879,5
"83",8300,0.633215566943675,4
"84",8400,0.859387948660921,7
"85",8500,0.540542043748072,6
"86",8600,0.441300232619487,14
"87",8700,0.347983134998208,5
"88",8800,0.550541370053273,7
"89",8900,0.557512938920794,6
"90",9000,0.299046304472843,2
"91",9100,0.18561760905327,6
"92",9200,0.348265296816593,3
"93",9300,0.807515413870007,5
"94",9400,0.704711421308808,5
"95",9500,0.428627424733394,4
"96",9600,0.612060474825655,3
"97",9700,0.562444023931545,6
"98",9800,0.522148420532077,4
"99",9900,0.364923998453022,4
