taxa,PC1,PC2,PC3
BIR1N115,-39.7854686458394,7.58527099511187,-10.7164769124599
BIR1N118,-55.4433743607307,-14.8186514654177,-10.2477834746868
BIR1N136,-57.0610311994871,-19.7935988770958,-14.5907429578191
BIR1N148,-63.883765150418,-13.4305990091981,-23.3136110931372
BIR1N167,-55.1942844970554,-16.3761315838781,15.8914567540003
BIR1N171,-39.6471846734533,10.0770393662703,8.34929217365076
BIR1N185,-54.8898146016649,13.0265552331901,10.9432108528122
BIR1N24,-44.0736505735314,-22.3416998812291,10.0394119818244
BIR1N64,-52.3439234415089,-8.0575991099012,1.00550984035188
BIR1N77,-48.7627381035136,20.6362903450222,4.13862036960294
BIR1N80,-47.7515033792969,2.0125011835396,17.1073404219916
BIR1N86,-56.5821900881203,-17.7364552479533,-2.18589777867504
BIR1N91,-42.7636733308234,15.8527498963239,-6.14593167500583
BIR1N94,-56.0473696364064,-3.88839003600832,16.0702609273332
BIR2N148,-53.7727751926584,-6.43311284892115,11.6931588117668
BIR2N15,-52.7424556178427,-11.8938384557336,4.01952951134339
BIR2N60,-62.1367083490541,-1.85585166805328,4.68780872526681
BIR2N76,-62.1135393194396,-1.14495060143365,7.01884509121715
BIR2N80,-58.1385629436809,1.24967046945812,4.5126939300312
BIR2N94,-61.1460888635335,-21.8979237071927,-14.2600081422504
LAR1N100,3.91511883105745,32.7916556525295,-1.13501748712209
LAR1N103,9.57572445433953,39.5994240112754,-18.4388833916841
LAR1N107,-4.80376144055218,-15.1588900619781,-26.1535558711165
LAR1N108,33.4237200965393,17.8892136103701,-2.7402762816782
LAR1N109,19.2236917384997,21.7725925709276,-5.06808055266667
LAR1N110,7.69540585932413,2.96555032956672,-1.55835728698913
LAR1N111,-6.99077873908612,18.5509861495953,12.5440489161647
LAR1N114,7.11051808063288,5.51876208579001,35.3403627625612
LAR1N119,16.6261883911102,6.2580098386475,14.9083265669716
LAR1N121,-4.55211808767165,-6.04429300526267,-37.5432542152798
LAR1N122,7.05713383968344,-19.6667349166481,-6.00872092270302
LAR1N125,-15.7725597784507,23.7362450309334,5.020631480894
LAR1N30,1.02759163537625,-6.36582475194047,7.80957608881911
LAR1N69,-1.29549376346745,-26.2474145076864,-18.9096586582057
LAR1N70,-5.55266703523692,-8.57456525007787,20.0571428610453
LAR1N74,-18.9041498875381,31.3528308063969,-4.23263352908661
LAR1N75,-4.73542712694845,10.0047769126413,-12.2563005810282
LAR1N76,2.02680333242566,-21.7800195467844,-8.57877359718999
LAR1N78,-21.8264294987395,14.7713244706765,-2.99430528534568
LAR1N79,28.3369240696184,-35.7628882433187,20.4582520330362
LAR1N81,12.0601255160497,24.7831859689259,17.4553803959964
LAR1N85,-2.79654542010374,-38.3536628907713,9.9692966199875
LAR1N91,6.99418656367556,-9.16752647447891,42.8641344576295
LAR1N98,27.5500276479874,-33.6567918065624,-5.3658430109622
LAR1N99,-1.83467958249351,15.0413544802569,-7.25717061649987
LAR2N1,-3.52417318485887,-37.9437073657071,1.80151492710289
LAR2N100,-0.24845894120164,-30.0540211524294,14.1913445483287
LAR2N101,27.5114705935608,-7.632861631854,30.2710849542231
LAR2N102,32.7381381027398,-3.21311091667206,-0.500454828007079
LAR2N11,-0.886528758506173,-28.1077996172411,12.6491334615293
LAR2N110,21.71503135341,-32.5547196829762,-8.18192884960106
LAR2N112,28.7199948212556,-21.855645506778,4.78239289586892
LAR2N113,4.69109823346666,25.0738324575768,-19.1884749569716
LAR2N115,16.1401450965881,-7.50603386663024,43.7233652331095
LAR2N119,-3.58289599347284,21.6482798840773,6.36199569939176
LAR2N12,-15.6004003933557,-1.29521945764283,2.79608464209614
LAR2N120,3.82045713287617,3.09777219524024,-40.3722681784072
LAR2N121,2.9956741833247,33.0601906972965,-21.6521598355503
LAR2N17,-12.0997406000188,-6.11422961318075,27.3388247918645
