"R2_overall","RMSE_overall","Pearson_r_overall","H2_broad"
0.0382218739596314,0.733802848982596,0.195504153305323,-415413.384
0.0421607161082761,0.562183944836011,-0.205330748082882,-415413.384
0.0492971025180765,0.9850076010124,0.222029508214734,-415413.384
0.141384682180516,0.864427246924675,0.376011545275563,-415413.384
0.014246224832956,1.50992142221926,0.119357550381013,-415413.384
0.0142043362143695,0.778593000780936,0.119181945840675,-415413.384
0.0603879002854507,0.795949681345942,0.245739496795795,-415413.384
0.000849979909175582,0.640651886816066,-0.0291544149173943,-415413.384
0.0945804743791971,0.887092481361649,0.307539386712007,-415413.384
0.00235552484559889,1.36247960656298,0.0485337495522332,-415413.384
