"Trait","N_eff","r","z","SE_z","z_low","z_high","r_low","r_high","SE_r","label"
"INL",499,0.855307035795306,1.27559573508242,0.0449013255066937,1.1875891370893,1.36360233307554,0.829829667788631,0.877225942245683,0.0120908863410847,"0.855 ± 0.012"
"LSA",216,0.244065561892955,0.249092662029184,0.0685188709827532,0.114795674902988,0.38338964915538,0.114294057937744,0.365647559692898,0.0641207912640698,"0.244 ± 0.064"
"TBZP",374,0.216791489866639,0.220286895025054,0.0519174131651165,0.118528765221426,0.322045024828682,0.117976793985163,0.311354871605171,0.049331142250002,"0.217 ± 0.049"
"TC",506,0.28018811803023,0.287886205248156,0.044587796206771,0.200494124682885,0.375278285813427,0.197850148936354,0.358599922500938,0.0410075952970879,"0.280 ± 0.041"
"TL",507,0.948777372302852,1.81938804236507,0.0445435403187374,1.73208270334035,1.9066933813898,0.939301573986331,0.956806825282017,0.00446562533053204,"0.949 ± 0.004"
